127.0.0.1 - - [29/Sep/2014:15:34:54 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Sep/2014:15:35:00 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [29/Sep/2014:15:37:59 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 12413
0:0:0:0:0:0:0:1 - - [29/Sep/2014:15:37:59 -0300] "GET /WebCalendario/webcalendario_files/jquery-1.10.1.min.js HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [29/Sep/2014:15:37:59 -0300] "GET /WebCalendario/webcalendario_files/jquery-ui.js HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [29/Sep/2014:15:37:59 -0300] "GET /WebCalendario/webcalendario_files/codigo.js HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [29/Sep/2014:15:37:59 -0300] "GET /WebCalendario/webcalendario_files/estilo.css HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [29/Sep/2014:15:37:59 -0300] "GET /WebCalendario/webcalendario_files/header.css HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [29/Sep/2014:15:39:48 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 12257
0:0:0:0:0:0:0:1 - - [29/Sep/2014:15:39:48 -0300] "GET /WebCalendario/lib/jquery-1.10.1.min.js HTTP/1.1" 200 93070
0:0:0:0:0:0:0:1 - - [29/Sep/2014:15:39:48 -0300] "GET /WebCalendario/js/codigo.js HTTP/1.1" 200 2074
0:0:0:0:0:0:0:1 - - [29/Sep/2014:15:39:48 -0300] "GET /WebCalendario/lib/jquery-ui.js HTTP/1.1" 200 451787
0:0:0:0:0:0:0:1 - - [29/Sep/2014:15:39:48 -0300] "GET /WebCalendario/css/estilo.css HTTP/1.1" 200 2979
0:0:0:0:0:0:0:1 - - [29/Sep/2014:15:39:48 -0300] "GET /WebCalendario/css/header.css HTTP/1.1" 200 1722
0:0:0:0:0:0:0:1 - - [29/Sep/2014:15:39:56 -0300] "GET /WebCalendario/webcalendario_files/webcalendario.html HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [29/Sep/2014:15:40:08 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 12257
0:0:0:0:0:0:0:1 - - [29/Sep/2014:16:52:28 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 12277
0:0:0:0:0:0:0:1 - - [29/Sep/2014:17:08:56 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 12277
0:0:0:0:0:0:0:1 - - [29/Sep/2014:17:08:56 -0300] "GET /WebCalendario/lib/jquery-1.10.1.min.js HTTP/1.1" 200 93070
0:0:0:0:0:0:0:1 - - [29/Sep/2014:17:08:56 -0300] "GET /WebCalendario/js/codigo.js HTTP/1.1" 200 2074
0:0:0:0:0:0:0:1 - - [29/Sep/2014:17:08:56 -0300] "GET /WebCalendario/css/estilo.css HTTP/1.1" 200 2979
0:0:0:0:0:0:0:1 - - [29/Sep/2014:17:08:56 -0300] "GET /WebCalendario/css/header.css HTTP/1.1" 200 1722
0:0:0:0:0:0:0:1 - - [29/Sep/2014:17:08:56 -0300] "GET /WebCalendario/lib/jquery-ui.js HTTP/1.1" 200 451787
0:0:0:0:0:0:0:1 - - [29/Sep/2014:17:08:57 -0300] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [29/Sep/2014:17:22:16 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 12286
0:0:0:0:0:0:0:1 - - [29/Sep/2014:17:23:10 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 12294
0:0:0:0:0:0:0:1 - - [29/Sep/2014:17:28:44 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 12993
0:0:0:0:0:0:0:1 - - [29/Sep/2014:17:29:25 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 12993
