127.0.0.1 - - [14/Oct/2014:16:09:56 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:09:58 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 15541
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:09:58 -0300] "GET /WebCalendario/lib/jquery-1.10.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:09:59 -0300] "GET /WebCalendario/js/codigo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:09:59 -0300] "GET /WebCalendario/lib/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:09:59 -0300] "GET /WebCalendario/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:10:16 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 15541
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:10:17 -0300] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:40:51 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 9652
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:42:30 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 15647
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:42:30 -0300] "GET /WebCalendario/lib/jquery-1.10.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:42:30 -0300] "GET /WebCalendario/lib/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:42:30 -0300] "GET /WebCalendario/js/codigo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:42:30 -0300] "GET /WebCalendario/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:42:30 -0300] "GET /WebCalendario/css/estilo.css HTTP/1.1" 304 -
