127.0.0.1 - - [10/Nov/2014:13:38:49 -0400] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:38:52 -0400] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 10122
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:38:52 -0400] "GET /WebCalendario/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:38:52 -0400] "GET /WebCalendario/js/codigo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:38:52 -0400] "GET /WebCalendario/login.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:39:01 -0400] "POST /WebCalendario/acciones/hazlogin.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:39:01 -0400] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 10066
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:39:01 -0400] "GET /WebCalendario/lib/jquery-1.10.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:39:01 -0400] "GET /WebCalendario/lib/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:39:01 -0400] "GET /WebCalendario/js/codigo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:39:01 -0400] "GET /WebCalendario/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:39:01 -0400] "GET /WebCalendario/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:39:47 -0400] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 13417
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:46:04 -0400] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 13417
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:46:17 -0400] "GET /WebCalendario/login.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:46:26 -0400] "POST /WebCalendario/acciones/hazlogin.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:46:26 -0400] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 13417
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:46:26 -0400] "GET /WebCalendario/lib/jquery-1.10.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:46:26 -0400] "GET /WebCalendario/lib/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:46:26 -0400] "GET /WebCalendario/js/codigo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:46:26 -0400] "GET /WebCalendario/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:46:26 -0400] "GET /WebCalendario/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:46:30 -0400] "GET /WebCalendario/Index.jsp?mes=posterior HTTP/1.1" 200 13641
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:46:32 -0400] "GET /WebCalendario/Index.jsp?mes=anterior HTTP/1.1" 200 13417
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:59:43 -0400] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 13417
0:0:0:0:0:0:0:1 - - [10/Nov/2014:13:59:59 -0400] "GET /WebCalendario/login.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [10/Nov/2014:14:00:10 -0400] "POST /WebCalendario/acciones/hazlogin.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [10/Nov/2014:14:00:10 -0400] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 13417
0:0:0:0:0:0:0:1 - - [10/Nov/2014:14:00:10 -0400] "GET /WebCalendario/lib/jquery-1.10.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:14:00:10 -0400] "GET /WebCalendario/lib/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:14:00:10 -0400] "GET /WebCalendario/js/codigo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:14:00:10 -0400] "GET /WebCalendario/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:14:00:10 -0400] "GET /WebCalendario/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2014:14:00:17 -0400] "GET /WebCalendario/Index.jsp?mes=posterior HTTP/1.1" 200 13641
0:0:0:0:0:0:0:1 - - [10/Nov/2014:14:00:18 -0400] "GET /WebCalendario/Index.jsp?mes=posterior HTTP/1.1" 200 13974
